ID,Name,Role,Full Name,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style (l),Playing Role
61479,Sachin Baby,P,Sachin Baby,18-12-1988,lhb,ob,left-hand bat,right-arm offbreak,batter
68573,PV Tambe,P,Pravin Tambe,8-10-1971,rhb,lb,right-hand bat,legbreak,bowler
54571,CD Barnwell,P,Chris Barnwell,6-1-1987,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
49357,SP Jackson,P,Sheldon Jackson,27-9-1986,rhb,ob,right-hand bat,right-arm offbreak,wicketkeeper batter
60530,KL Rahul,P,KL Rahul,18-4-1992,rhb,,right-hand bat,,wicketkeeper batter
45258,R Rampaul,P,Ravi Rampaul,15-10-1984,lhb,rfm,left-hand bat,right-arm fast-medium,bowler
69227,S Sandeep Warrier,P,Sandeep Warrier,4-4-1991,rhb,rm,right-hand bat,right-arm medium,bowler
58406,Q de Kock,P,Quinton de Kock,17-12-1992,lhb,,left-hand bat,,wicketkeeper batter
44829,DJG Sammy,P,Daren Sammy,20-12-1983,rhb,rm,right-hand bat,right-arm medium,allrounder
53753,X Thalaivan Sargunam,P,Thalaivan Sargunam,15-5-1985,rhb,ob,right-hand bat,right-arm offbreak,
62182,GH Vihari,P,Hanuma Vihari,13-10-1993,rhb,ob,right-hand bat,right-arm offbreak,batting allrounder
46597,MM Ali,P,Moeen Ali,18-6-1987,lhb,ob,left-hand bat,right-arm offbreak,batting allrounder
96757,KM Asif,P,KM Asif,24-7-1993,rhb,rm,right-hand bat,right-arm medium,bowler
108588,K Bhagath Varma,P,Bhagath Varma,21-9-1998,rhb,ob,right-hand bat,right-arm offbreak,bowling allrounder
58403,DP Conway,P,Devon Conway,8-7-1991,lhb,rm,left-hand bat,right-arm medium,wicketkeeper batter
80607,TU Deshpande,P,Tushar Deshpande,15-5-1995,lhb,rm,left-hand bat,right-arm medium,bowler
74975,S Dube,P,Shivam Dube,26-6-1993,lhb,rm,left-hand bat,right-arm medium,allrounder
95094,RD Gaikwad,P,Ruturaj Gaikwad,31-1-1997,rhb,ob,right-hand bat,right-arm offbreak,batter
104758,RS Hangargekar,P,Rajvardhan Hangargekar,10-11-2002,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
94159,C Hari Nishaanth,P,Hari Nishaanth,16-8-1996,lhb,ob,left-hand bat,right-arm offbreak,opening batter
94125,N Jagadeesan,P,Narayan Jagadeesan,24-12-1995,rhb,,right-hand bat,,wicketkeeper batter
51421,CJ Jordan,P,Chris Jordan,4-10-1988,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
101414,Mukesh Choudhary,P,Mukesh Choudhary,6-7-1996,lhb,lm,left-hand bat,left-arm medium,bowler
105938,M Pathirana,P,Matheesha Pathirana,18-12-2002,rhb,rf,right-hand bat,right-arm fast,bowler
54430,D Pretorius,P,Dwaine Pretorius,29-3-1989,rhb,rmf,right-hand bat,right-arm medium-fast,bowling allrounder
64864,MJ Santner,P,Mitchell Santner,5-2-1992,lhb,sla,left-hand bat,slow left-arm orthodox,bowling allrounder
95070,SP Senapati,P,Subhranshu Senapati,30-12-1996,rhb,rm,right-hand bat,right-arm medium,top-order batter
103599,Simarjeet Singh,P,Simarjeet Singh,17-1-1998,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
108612,PH Solanki,P,Prashant Solanki,22-2-2000,rhb,lb,right-hand bat,legbreak,bowler
101991,M Theekshana,P,Maheesh Theekshana,1-8-2000,rhb,ob,right-hand bat,right-arm offbreak,bowler
62153,AF Milne,P,Adam Milne,13-4-1992,rhb,rf,right-hand bat,right-arm fast,bowler
86165,RR Pant,C,Rishabh Pant,4-10-1997,lhb,,left-hand bat,,wicketkeeper batter
87603,KK Ahmed,P,Khaleel Ahmed,5-12-1997,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
79539,K Ashwin Hebbar,P,Ashwin Hebbar,15-11-1995,rhb,rsm,right-hand bat,right-arm slow-medium,opening batter
66183,KS Bharat,P,Srikar Bharat,3-10-1993,rhb,,right-hand bat,,wicketkeeper batter
110977,YV Dhull,P,Yash Dhull,11-11-2002,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
77821,P Dubey,P,Praveen Dubey,1-7-1993,rhb,lbg,right-hand bat,legbreak googly,bowler
71335,SN Khan,P,Sarfaraz Khan,22-10-1997,rhb,lb,right-hand bat,legbreak,middle-order batter
86109,Lalit Yadav,P,Lalit Yadav,3-1-1997,rhb,ob,right-hand bat,right-arm offbreak,allrounder
54674,Mustafizur Rahman,P,Mustafizur Rahman,6-9-1995,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
95323,KL Nagarkoti,P,Kamlesh Nagarkoti,28-12-1999,rhb,rf,right-hand bat,right-arm fast,bowler
66941,L Ngidi,P,Lungi Ngidi,29-3-1996,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
63651,A Nortje,P,Anrich Nortje,16-11-1993,rhb,rf,right-hand bat,right-arm fast,bowler
110999,VK Ostwal,P,Vicky Ostwal,1-9-2002,rhb,sla,right-hand bat,slow left-arm orthodox,bowler
106418,RV Patel,P,Ripal Patel,28-9-1995,rhb,rmf,right-hand bat,right-arm medium-fast,middle-order batter
80425,R Powell,P,Rovman Powell,23-7-1993,rhb,rmf,right-hand bat,right-arm medium-fast,middle-order batter
101780,C Sakariya,P,Chetan Sakariya,28-2-1998,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
70695,TL Seifert,P,Tim Seifert,14-12-1994,rhb,,right-hand bat,,wicketkeeper batter
95315,PP Shaw,P,Prithvi Shaw,9-11-1999,rhb,ob,right-hand bat,right-arm offbreak,opening batter
63477,SN Thakur,P,Shardul Thakur,16-10-1991,rhb,rm,right-hand bat,right-arm medium,bowler
70633,HH Pandya,C,Hardik Pandya,11-10-1993,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
83883,DC Drakes,P,Dominic Drakes,6-2-1998,lhb,lmf,left-hand bat,left-arm medium-fast,bowling allrounder
64402,LH Ferguson,P,Lockie Ferguson,13-6-1991,rhb,rf,right-hand bat,right-arm fast,bowler
72397,AS Joseph,P,Alzarri Joseph,20-11-1996,rhb,rf,right-hand bat,right-arm fast,bowler
77887,A Manohar,P,Abhinav Manohar,16-9-1994,rhb,lbg,right-hand bat,legbreak googly,batting allrounder
99252,DG Nalkande,P,Darshan Nalkande,4-10-1998,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
105215,Noor Ahmad,P,Noor Ahmad,3-1-2005,rhb,lws,right-hand bat,left-arm wrist-spin,bowler
90143,Rahmanullah Gurbaz,P,Rahmanullah Gurbaz,28-11-2001,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
79159,Rashid Khan,P,Rashid Khan,20-9-1998,rhb,lbg,right-hand bat,legbreak googly,bowling allrounder
94051,R Sai Kishore,P,Sai Kishore,6-11-1996,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
102753,B Sai Sudharsan,P,Sai Sudharsan,15-10-2001,lhb,lb,left-hand bat,legbreak,top-order batter
95316,Shubman Gill,P,Shubman Gill,8-9-1999,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
60628,R Tewatia,P,Rahul Tewatia,20-5-1993,lhb,lb,left-hand bat,legbreak,bowling allrounder
62051,J Yadav,P,Jayant Yadav,22-1-1990,rhb,ob,right-hand bat,right-arm offbreak,bowler
103597,Yash Dayal,P,Yash Dayal,13-12-1997,rhb,lmf,right-hand bat,left-arm medium-fast,bowler
52290,JJ Roy,P,Jason Roy,21-7-1990,rhb,,right-hand bat,,opening batter
71331,SS Iyer,C,Shreyas Iyer,6-12-1994,rhb,"ob,lbg",right-hand bat,"right-arm offbreak,legbreak googly",top-order batter
108718,Aman Hakim Khan,P,Aman Khan,23-11-1996,rhb,rm,right-hand bat,right-arm medium,allrounder
111243,Ashok Sharma,P,Ashok Sharma,17-6-2002,rhb,rm,right-hand bat,right-arm medium,bowler
52241,SW Billings,P,Sam Billings,15-6-1991,rhb,,right-hand bat,,wicketkeeper batter
111976,Harshit Rana,P,Harshit Rana,22-12-2001,rhb,rf,right-hand bat,right-arm fast,bowler
63522,B Indrajith,P,Baba Indrajith,8-7-1994,rhb,lbg,right-hand bat,legbreak googly,top-order batter
81147,VR Iyer,P,Venkatesh Iyer,25-12-1994,lhb,rm,left-hand bat,right-arm medium,allrounder
70580,C Karunaratne,P,Chamika Karunaratne,29-5-1996,rhb,rmf,right-hand bat,right-arm medium-fast,bowling allrounder
46888,Mohammad Nabi,P,Mohammad Nabi,1-1-1985,rhb,ob,right-hand bat,right-arm offbreak,allrounder
96779,Pratham Singh,P,Pratham Singh,31-8-1992,lhb,ob,left-hand bat,right-arm offbreak,opening batter
111241,Ramesh Kumar,P,Ramesh Kumar,1-1-1999,lhb,,left-hand bat,,bowler
70411,N Rana,P,Nitish Rana,27-12-1993,lhb,"rm,ob,lb",left-hand bat,"right-arm medium,right-arm offbreak,legbreak",middle-order batter
96408,AS Roy,P,Anukul Roy,30-11-1998,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
96417,Shivam Mavi,P,Shivam Mavi,26-11-1998,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
75591,RK Singh,P,Rinku Singh,12-10-1997,lhb,ob,left-hand bat,right-arm offbreak,middle-order batter
96532,A Tomar,P,Abhijeet Tomar,14-3-1995,rhb,ob,right-hand bat,right-arm offbreak,opening batter
98673,CV Varun,P,Varun Chakravarthy,29-8-1991,rhb,lbg,right-hand bat,legbreak googly,bowler
64244,PJ Cummins,P,Pat Cummins,8-5-1993,rhb,rf,right-hand bat,right-arm fast,bowler
49532,AD Hales,P,Alex Hales,3-1-1989,rhb,rm,right-hand bat,right-arm medium,opening batter
103872,Rasikh Salam,P,Rasikh Salam,5-4-2000,rhb,rm,right-hand bat,right-arm medium,bowler
73507,Avesh Khan,P,Avesh Khan,13-12-1996,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
102735,A Badoni,P,Ayush Badoni,3-12-1999,rhb,ob,right-hand bat,right-arm offbreak,batter
67342,PVD Chameera,P,Dushmantha Chameera,11-1-1992,rhb,rf,right-hand bat,right-arm fast,bowler
60737,K Gowtham,P,Krishnappa Gowtham,20-10-1988,rhb,ob,right-hand bat,right-arm offbreak,bowling allrounder
64479,DJ Hooda,P,Deepak Hooda,19-4-1995,rhb,ob,right-hand bat,right-arm offbreak,allrounder
61413,E Lewis,P,Evin Lewis,27-12-1991,lhb,,left-hand bat,,opening batter
56832,KR Mayers,P,Kyle Mayers,8-9-1992,lhb,rm,left-hand bat,right-arm medium,batting allrounder
101792,Mohsin Khan,P,Mohsin Khan,15-7-1998,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
63224,KH Pandya,P,Krunal Pandya,24-3-1991,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
104770,Ravi Bishnoi,P,Ravi Bishnoi,5-9-2000,rhb,lbg,right-hand bat,legbreak googly,bowler
108519,KS Sharma,P,Karan Sharma,31-10-1998,rhb,ob,right-hand bat,right-arm offbreak,allrounder
54212,MP Stoinis,P,Marcus Stoinis,16-8-1989,rhb,rm,right-hand bat,right-arm medium,batting allrounder
62500,AJ Tye,P,Andrew Tye,12-12-1986,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
111042,MP Yadav,P,Mayank Yadav,17-6-2002,rhb,rf,right-hand bat,right-arm fast,bowler
56993,MA Wood,P,Mark Wood,11-1-1990,rhb,rf,right-hand bat,right-arm fast,bowler
72385,FA Allen,P,Fabian Allen,7-5-1995,rhb,sla,right-hand bat,slow left-arm orthodox,bowling allrounder
81141,Anmolpreet Singh,P,Anmolpreet Singh,28-3-1998,rhb,ob,right-hand bat,right-arm offbreak,batter
72379,JC Archer,P,Jofra Archer,1-4-1995,rhb,rf,right-hand bat,right-arm fast,bowler
66116,M Ashwin,P,Murugan Ashwin,8-9-1990,rhb,lbg,right-hand bat,legbreak googly,bowler
75993,Basil Thampi,P,Basil Thampi,11-9-1993,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
95429,D Brevis,P,Dewald Brevis,29-4-2003,rhb,lb,right-hand bat,legbreak,batting allrounder
107297,RR Buddhi,P,Rahul Buddhi,20-9-1997,lhb,ob,left-hand bat,right-arm offbreak,middle-order batter
83439,TH David,P,Tim David,16-3-1996,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
75325,Ishan Kishan,P,Ishan Kishan,18-7-1998,lhb,"ob,lb",left-hand bat,"right-arm offbreak,legbreak",wicketkeeper batter
101664,A Juyal,P,Aryan Juyal,11-11-2001,rhb,,right-hand bat,,wicketkeeper batter
103701,K Kartikeya,P,Kumar Kartikeya,26-12-1997,rhb,"sla,lws",right-hand bat,"slow left-arm orthodox,left-arm wrist-spin",bowler
96617,M Markande,P,Mayank Markande,11-11-1997,rhb,lb,right-hand bat,legbreak,bowler
89779,RP Meredith,P,Riley Meredith,21-6-1996,rhb,rf,right-hand bat,right-arm fast,bowler
96395,Ramandeep Singh,P,Ramandeep Singh,13-4-1997,rhb,rm,right-hand bat,right-arm medium,middle-order batter
80807,DR Sams,P,Daniel Sams,27-10-1992,rhb,lfm,right-hand bat,left-arm fast-medium,allrounder
94153,R Sanjay Yadav,P,Sanjay Yadav,10-5-1995,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
104752,HR Shokeen,P,Hrithik Shokeen,14-8-2000,rhb,ob,right-hand bat,right-arm offbreak,bowler
69697,T Stubbs,P,Tristan Stubbs,14-8-2000,rhb,ob,right-hand bat,right-arm offbreak,batter
102574,AS Tendulkar,P,Arjun Tendulkar,24-9-1999,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
104396,NT Tilak Varma,P,Tilak Varma,8-11-2002,lhb,ob,left-hand bat,right-arm offbreak,batting allrounder
108342,Arshad Khan,P,Arshad Khan,20-12-1997,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
62490,TS Mills,P,Tymal Mills,12-8-1992,rhb,lf,right-hand bat,left-arm fast,bowler
107007,VG Arora,P,Vaibhav Arora,14-12-1997,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
101430,Arshdeep Singh,P,Arshdeep Singh,5-2-1999,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
52161,JM Bairstow,P,Jonny Bairstow,26-9-1989,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
66081,Baltej Singh,P,Baltej Singh,4-11-1990,rhb,rm,right-hand bat,right-arm medium,bowler
110981,RA Bawa,P,Raj Bawa,12-11-2002,lhb,rmf,left-hand bat,right-arm medium-fast,allrounder
95219,RD Chahar,P,Rahul Chahar,4-8-1999,rhb,lbg,right-hand bat,legbreak googly,bowler
74541,WB Chatterjee,P,Writtick Chatterjee,28-9-1992,rhb,ob,right-hand bat,right-arm offbreak,allrounder
80817,NT Ellis,P,Nathan Ellis,22-9-1994,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
104281,Harpreet Brar,P,Harpreet Brar,16-9-1995,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
48563,BAC Howell,P,Benny Howell,5-10-1988,rhb,rm,right-hand bat,right-arm medium,allrounder
59832,LS Livingstone,P,Liam Livingstone,4-8-1993,rhb,"ob,lb",right-hand bat,"right-arm offbreak,legbreak",batting allrounder
88977,PN Mankad,P,Prerak Mankad,23-4-1994,rhb,rm,right-hand bat,right-arm medium,allrounder
107505,AP Patel,P,Ansh Patel,19-2-2002,rhb,lws,right-hand bat,left-arm wrist-spin,bowler
89889,IC Porel,P,Ishan Porel,5-9-1998,rhb,rm,right-hand bat,right-arm medium,bowler
103766,Prabhsimran Singh,P,Prabhsimran Singh,10-8-2000,rhb,,right-hand bat,,wicketkeeper batter
67296,K Rabada,P,Kagiso Rabada,25-5-1995,lhb,rf,left-hand bat,right-arm fast,bowler
56511,PBB Rajapaksa,P,Bhanuka Rajapaksa,24-10-1991,lhb,rm,left-hand bat,right-arm medium,top-order batter
75315,M Shahrukh Khan,P,M Shahrukh Khan,27-5-1995,rhb,ob,right-hand bat,right-arm offbreak,batter
75347,JM Sharma,P,Jitesh Sharma,22-10-1993,rhb,,right-hand bat,,wicketkeeper batter
80451,OF Smith,P,Odean Smith,1-11-1996,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
101424,A Taide,P,Atharva Taide,26-4-2000,lhb,sla,left-hand bat,slow left-arm orthodox,batting allrounder
103693,Anunay Singh,P,Anunay Singh,3-1-1993,rhb,,right-hand bat,,bowler
69308,C Bosch,P,Corbin Bosch,10-9-1994,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
51092,TA Boult,P,Trent Boult,22-7-1989,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
53271,JC Buttler,P,Jos Buttler,8-9-1990,rhb,,right-hand bat,,wicketkeeper batter
77835,KC Cariappa,P,KC Cariappa,13-4-1994,rhb,lb,right-hand bat,legbreak,bowler
110590,SS Garhwal,P,Shubham Garhwal,14-5-1995,lhb,sla,left-hand bat,slow left-arm orthodox,batter
72393,SO Hetmyer,P,Shimron Hetmyer,26-12-1996,lhb,,left-hand bat,,middle-order batter
102743,YBK Jaiswal,P,Yashasvi Jaiswal,28-12-2001,lhb,lb,left-hand bat,legbreak,opening batter
104817,DC Jurel,P,Dhruv Jurel,21-1-2001,rhb,,right-hand bat,,wicketkeeper batter
83915,OC McCoy,P,Obed McCoy,4-1-1997,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
58772,DJ Mitchell,P,Daryl Mitchell,20-5-1991,rhb,rm,right-hand bat,right-arm medium,batting allrounder
57196,JDS Neesham,P,James Neesham,17-9-1990,lhb,rmf,left-hand bat,right-arm medium-fast,batting allrounder
100878,D Padikkal,P,Devdutt Padikkal,7-7-2000,lhb,ob,left-hand bat,right-arm offbreak,top-order batter
96392,R Parag,P,Riyan Parag,10-11-2001,rhb,"ob,lb",right-hand bat,"right-arm offbreak,legbreak",top-order batter
84635,M Prasidh Krishna,P,Prasidh Krishna,19-2-1996,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
74633,NA Saini,P,Navdeep Saini,23-11-1992,rhb,rf,right-hand bat,right-arm fast,bowler
104045,KR Sen,P,Kuldeep Sen,22-10-1996,rhb,rf,right-hand bat,right-arm fast,bowler
96752,Tejas Baroka,P,Tejas Baroka,1-2-1996,rhb,lbg,right-hand bat,legbreak googly,bowler
55398,HE van der Dussen,P,Rassie van der Dussen,7-2-1989,rhb,lb,right-hand bat,legbreak,top-order batter
106886,K Yadav,P,Kuldip Yadav,15-10-1996,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
104922,Akash Deep,P,Akash Deep,15-12-1996,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
89097,FH Allen,P,Finn Allen,22-4-1999,rhb,,right-hand bat,,top-order batter
101312,Anuj Rawat,P,Anuj Rawat,17-10-1999,lhb,,left-hand bat,,wicketkeeper batter
50789,JP Behrendorff,P,Jason Behrendorff,20-4-1990,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
110992,AN Gautam,P,Aneeshwar Gautam,16-1-2003,lhb,sla,left-hand bat,slow left-arm orthodox,bowling allrounder
51367,JR Hazlewood,P,Josh Hazlewood,8-1-1991,lhb,rfm,left-hand bat,right-arm fast-medium,bowler
81197,MK Lomror,P,Mahipal Lomror,16-11-1999,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
70434,CV Milind,P,Chama Milind,4-9-1994,lhb,lm,left-hand bat,left-arm medium,bowler
87477,Mohammed Siraj,P,Mohammed Siraj,13-3-1994,rhb,rf,right-hand bat,right-arm fast,bowler
80645,RM Patidar,P,Rajat Patidar,1-6-1993,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
96803,SS Prabhudessai,P,Suyash Prabhudessai,6-12-1997,rhb,rm,right-hand bat,right-arm medium,batting allrounder
84201,SE Rutherford,P,Sherfane Rutherford,15-8-1998,lhb,rfm,left-hand bat,right-arm fast-medium,middle-order batter
103588,Shahbaz Ahmed,P,Shahbaz Ahmed,11-12-1994,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
53121,DJ Willey,P,David Willey,28-2-1990,lhb,lfm,left-hand bat,left-arm fast-medium,bowling allrounder
103079,LS Sisodia,P,Luvnith Sisodia,15-1-2000,lhb,lm,left-hand bat,left-arm medium,wicketkeeper batter
59610,SA Abbott,P,Sean Abbott,29-2-1992,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
104814,Abdul Samad,P,Abdul Samad,28-10-2001,rhb,lb,right-hand bat,legbreak,batter
95320,Abhishek Sharma,P,Abhishek Sharma,4-9-2000,lhb,sla,left-hand bat,slow left-arm orthodox,batting allrounder
90231,Fazalhaq Farooqi,P,Fazalhaq Farooqi,22-9-2000,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
95319,PK Garg,P,Priyam Garg,30-11-2000,rhb,rm,right-hand bat,right-arm medium,top-order batter
56596,S Gopal,P,Shreyas Gopal,4-9-1993,rhb,lb,right-hand bat,legbreak,allrounder
73871,M Jansen,P,Marco Jansen,1-5-2000,rhb,lf,right-hand bat,left-arm fast,bowling allrounder
101306,Kartik Tyagi,P,Kartik Tyagi,8-11-2000,rhb,rf,right-hand bat,right-arm fast,bowler
70277,AK Markram,P,Aiden Markram,4-10-1994,rhb,ob,right-hand bat,right-arm offbreak,allrounder
104786,SS Mishra,P,Sushant Mishra,23-12-2000,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
79597,T Natarajan,P,T Natarajan,4-4-1991,lhb,lm,left-hand bat,left-arm medium,bowler
80639,GD Phillips,P,Glenn Phillips,6-12-1996,rhb,ob,right-hand bat,right-arm offbreak,allrounder
70405,N Pooran,P,Nicholas Pooran,2-10-1995,lhb,ob,left-hand bat,right-arm offbreak,wicketkeeper batter
63432,R Samarth,P,Ravikumar Samarth,22-1-1993,rhb,ob,right-hand bat,right-arm offbreak,opening batter
58341,Shashank Singh,P,Shashank Singh,21-11-1991,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",batting allrounder
72505,R Shepherd,P,Romario Shepherd,26-11-1994,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
66101,J Suchith,P,Jagadeesha Suchith,16-1-1994,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
61999,RA Tripathi,P,Rahul Tripathi,2-3-1991,rhb,rm,right-hand bat,right-arm medium,top-order batter
108529,Umran Malik,P,Umran Malik,22-11-1999,rhb,rf,right-hand bat,right-arm fast,bowler
75995,Vishnu Vinod,P,Vishnu Vinod,2-12-1993,rhb,,right-hand bat,,wicketkeeper batter
75311,Washington Sundar,P,Washington Sundar,5-10-1999,lhb,ob,left-hand bat,right-arm offbreak,bowling allrounder
106883,SR Dubey,P,Saurabh Dubey,23-1-1998,rhb,lmf,right-hand bat,left-arm medium-fast,bowler
51088,KS Williamson,P,Kane Williamson,8-8-1990,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
104787,Akash Singh,P,Akash Singh,26-4-2002,rhb,lmf,right-hand bat,left-arm medium-fast,bowler
58466,SSB Magala,P,Sisanda Magala,7-1-1991,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
95065,AJ Mandal,P,Ajay Mandal,25-2-1996,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
110976,SK Rasheed,P,Shaik Rasheed,24-9-2004,rhb,lb,right-hand bat,legbreak,batter
110985,N Sindhu,P,Nishant Sindhu,9-4-2004,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
53320,BA Stokes,P,Ben Stokes,4-6-1991,lhb,rfm,left-hand bat,right-arm fast-medium,allrounder
70691,KA Jamieson,P,Kyle Jamieson,30-12-1994,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
110107,Abishek Porel,P,Abishek Porel,17-10-2002,lhb,,left-hand bat,,wicketkeeper batter
85763,Mukesh Kumar,P,Mukesh Kumar,12-10-1993,rhb,rm,right-hand bat,right-arm medium,bowler
72363,PD Salt,P,Phil Salt,28-8-1996,rhb,ob,right-hand bat,right-arm offbreak,wicketkeeper batter
85975,JB Little,P,Josh Little,1-11-1999,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
101742,UM Patel,P,Urvil Patel,17-10-1998,rhb,,right-hand bat,,wicketkeeper batter
61690,MD Shanaka,P,Dasun Shanaka,9-9-1991,rhb,rm,right-hand bat,right-arm medium,allrounder
114448,Aarya Desai,P,Aarya Desai,3-4-2003,lhb,ob,left-hand bat,right-arm offbreak,opening batter
55194,J Charles,P,Johnson Charles,14-1-1989,rhb,,right-hand bat,,wicketkeeper batter
96758,K Khejroliya,P,Kulwant Khejroliya,13-3-1992,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
114312,Suyash Sharma,P,Suyash Sharma,15-5-2003,rhb,lbg,right-hand bat,legbreak googly,bowler
48777,D Wiese,P,David Wiese,18-5-1985,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
66691,Litton Das,P,Litton Das,13-10-1994,rhb,ob,right-hand bat,right-arm offbreak,wicketkeeper batter
104102,AN Guleria,P,Arpit Guleria,26-4-1997,rhb,rm,right-hand bat,right-arm medium,bowler
79151,Naveen-ul-Haq,P,Naveen-ul-Haq,23-9-1999,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
95329,Yash Thakur,P,Yash Thakur,28-12-1998,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
106850,Yudhvir Singh,P,Yudhvir Singh,13-9-1997,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
114297,R Goyal,P,Raghav Goyal,26-1-2001,lhb,lws,left-hand bat,left-arm wrist-spin,bowler
96335,C Green,P,Cameron Green,3-6-1999,rhb,rfm,right-hand bat,right-arm fast-medium,batting allrounder
69674,D Jansen,P,Duan Jansen,1-5-2000,rhb,lf,right-hand bat,left-arm fast,bowler
106837,A Madhwal,P,Akash Madhwal,25-11-1993,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
101744,SZ Mulani,P,Shams Mulani,13-3-1997,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
102738,N Wadhera,P,Nehal Wadhera,4-9-2000,lhb,lb,left-hand bat,legbreak,top-order batter
77669,JA Richardson,P,Jhye Richardson,20-9-1996,rhb,rf,right-hand bat,right-arm fast,bowler
72103,SM Curran,P,Sam Curran,3-6-1998,lhb,lmf,left-hand bat,left-arm medium-fast,allrounder
110604,Gurnoor Brar,P,Gurnoor Brar,25-5-2000,lhb,rf,left-hand bat,right-arm fast,bowler
103088,V Kaverappa,P,Vidwath Kaverappa,25-2-1999,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
114254,Mohit Rathee,P,Mohit Rathee,13-1-1999,rhb,lb,right-hand bat,legbreak,allrounder
70472,MW Short,P,Matthew Short,8-11-1995,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
52319,Sikandar Raza,P,Sikandar Raza,24-4-1986,rhb,"ob,lb",right-hand bat,"right-arm offbreak,legbreak",batting allrounder
110638,Abdul Basith,P,Abdul Basith,9-10-1998,rhb,ob,right-hand bat,right-arm offbreak,allrounder
74477,D Ferreira,P,Donovan Ferreira,21-7-1998,rhb,ob,right-hand bat,right-arm offbreak,allrounder
113566,KS Rathore,P,Kunal Singh Rathore,9-10-2002,lhb,,left-hand bat,,wicketkeeper batter
52656,JE Root,P,Joe Root,30-12-1990,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
75433,AP Vasisht,P,Akash Vasisht,17-12-1994,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
58435,A Zampa,P,Adam Zampa,31-3-1992,rhb,lbg,right-hand bat,legbreak googly,bowler
114294,Avinash Singh,P,Avinash Singh,4-1-1998,rhb,rf,right-hand bat,right-arm fast,bowler
